date,code,code_name,listing_date,listing_age_trading_days,listing_status,listing_eligible,trading_status,price_limit_status,security_status
2018-01-05,sh.601988,中国银行,2018-01-02,4,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-05,sh.601997,贵阳银行,2018-01-02,4,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-05,sh.601998,中信银行,2018-01-02,4,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-05,sh.603323,苏农银行,2018-01-02,4,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-05,sz.000001,平安银行,2018-01-02,4,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-05,sz.000617,中油资本,2018-01-02,4,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-05,sz.001227,兰州银行,2022-01-17,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-05,sz.002142,宁波银行,2018-01-02,4,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-05,sz.002807,江阴银行,2018-01-02,4,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-05,sz.002839,张家港行,2018-01-02,4,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-05,sz.002936,郑州银行,2018-09-19,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-05,sz.002948,青岛银行,2019-01-16,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-05,sz.002958,青农商行,2019-03-26,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-05,sz.002966,苏州银行,2019-08-02,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-08,sh.600000,浦发银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.600015,华夏银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.600016,民生银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.600036,招商银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.600318,新力金融,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.600901,江苏金租,2018-03-01,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-08,sh.600908,无锡银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.600919,江苏银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.600926,杭州银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.600928,西安银行,2019-03-01,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-08,sh.601009,南京银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.601077,渝农商行,2019-10-29,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-08,sh.601128,常熟银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.601166,兴业银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.601169,北京银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.601187,厦门银行,2020-10-27,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-08,sh.601229,上海银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.601288,农业银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.601328,交通银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.601398,工商银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.601528,瑞丰银行,2021-06-25,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-08,sh.601577,长沙银行,2018-09-26,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-08,sh.601658,邮储银行,2019-12-10,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-08,sh.601665,齐鲁银行,2021-06-18,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-08,sh.601818,光大银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.601825,沪农商行,2021-08-19,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-08,sh.601838,成都银行,2018-01-31,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-08,sh.601860,紫金银行,2019-01-03,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-08,sh.601916,浙商银行,2019-11-26,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-08,sh.601939,建设银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
